"fcltynm","mt10id","mt13cnt","fcltychartr","sidonm","gugunnm","opende"
"1m클래식아트홀","FC001419","1","민간(대학로)","서울","종로구","2008"
"30스튜디오 (폐관)","FC001562","1","민간(대학로)","서울","종로구","2016"
"57th gallery(57갤러리)","FC002702","1","기타(비공연장)","서울","종로구"," "
"CJ아지트 대학로 (구. SM아트홀)","FC000098","1","민간(대학로)","서울","종로구","2016"
"Cafe PPnF","FC002066","1","기타(비공연장)","서울","종로구","2018"
"D:BASE (디:베이스)","FC002014","1","민간(대학로)","서울","종로구","2015"
"DS ART HALL(창선당)","FC002003","1","민간(대학로 외)","서울","종로구","2014"
"JCC 아트센터","FC001575","4","민간(대학로)","서울","종로구","2015"
"JCC크리에이티브센터","FC003368","1","민간(대학로 외)","서울","종로구"," "
"JH아트홀","FC001073","1","민간(대학로)","서울","종로구","2012"
"JS아트홀 (구. 고스트씨어터 구.다소니씨어터)","FC001859","1","민간(대학로)","서울","종로구","2018"
"JTN 아트홀(구. 대학로예술마당)","FC000139","4","민간(대학로)","서울","종로구","2016"
"KOTE(코트)","FC002685","1","민간(대학로 외)","서울","종로구"," "
"M Stage(엠스테이지)","FC001585","2","민간(대학로 외)","서울","종로구"," "
"R&J씨어터(구. 연진아트홀)","FC001142","1","민간(대학로)","서울","종로구","2006"
"SH아트홀","FC001384","1","민간(대학로)","서울","종로구","2011"
"SJA HALL","FC001461","1","민간(대학로)","서울","종로구","2013"
"VERY(베리컴퍼니)","FC001845","2","민간(대학로)","서울","종로구"," "
"가나의집열림홀","FC000353","1","민간(대학로 외)","서울","종로구","2005"
"갤러리롤랑","FC002360","1","기타(비공연장)","서울","종로구","2012"
"갤러리춘추","FC002413","1","기타(비공연장)","서울","종로구"," "
"게릴라극장 (폐관)","FC000163","1","민간(대학로)","서울","종로구","2006"
"경복궁","FC002710","1","기타(비공연장)","서울","종로구"," "
"경복궁아트홀","FC000194","1","민간(대학로 외)","서울","종로구","2012"
"고려사이버대학교","FC002022","1","기타(비공연장)","서울","종로구","2001"
"공간아울","FC001209","1","민간(대학로)","서울","종로구","2010"
"공공그라운드","FC002465","1","민간(대학로)","서울","종로구","2017"
"광화문광장","FC002271","3","기타(비공연장)","서울","종로구"," "
"광화문아트홀","FC001177","1","공공(문예회관)","서울","종로구","2008"
"구 사춤전용관(낙원상가) (폐관)","FC001152","1","민간(대학로 외)","서울","종로구","2004"
"국민대학교 제로원디자인센터","FC002469","1","민간(대학로)","서울","종로구","2004"
"굿씨어터","FC001240","1","민간(대학로)","서울","종로구","2004"
"극장 동국","FC001226","1","민간(대학로)","서울","종로구","2014"
"글루호텔 블루레인라운지","FC003178","1","민간(대학로)","서울","종로구"," "
"금호아트홀 (폐관)","FC000391","2","민간(대학로 외)","서울","종로구","2000"
"김동수플레이하우스 (폐관)","FC000177","1","민간(대학로)","서울","종로구","2000"
"나온씨어터","FC000180","1","민간(대학로)","서울","종로구","2008"
"낙원상가 페인터즈 전용관 (폐관)","FC001324","1","민간(대학로 외)","서울","종로구","2008"
"남서울대학교 아트센터 갤러리 이앙","FC001842","1","기타(비공연장)","서울","종로구","2008"
"낭만극장","FC001342","1","민간(대학로 외)","서울","종로구","2009"
"내유외강씨어터(구. 익스트림씨어터 1관)","FC001095","1","민간(대학로)","서울","종로구","2012"
"노들장애인야학","FC001673","1","민간(대학로)","서울","종로구","1994"
"노무현시민센터","FC003237","1","민간(대학로 외)","서울","종로구"," "
"노을소극장","FC001274","1","민간(대학로)","서울","종로구","2011"
"달밤엔씨어터","FC001884","1","민간(대학로)","서울","종로구","2014"
"달빛극장","FC001204","1","민간(대학로)","서울","종로구","2012"
"달식당 (Lunar Pub & Music)","FC002423","1","기타(비공연장)","서울","종로구"," "
"대학로 A아트홀(구. 신연아트홀)","FC001235","1","민간(대학로)","서울","종로구","2005"
"대학로 극장가게 (구. 문씨어터, 지구인씨어터)","FC001388","1","민간(대학로)","서울","종로구","2015"
"대학로 김대범소극장","FC001323","1","민간(대학로)","서울","종로구","2012"
"대학로 달달씨어터","FC001353","1","민간(대학로)","서울","종로구","2014"
"대학로 두레홀 3관","FC001440","1","민간(대학로)","서울","종로구","2006"
"대학로 두레홀 4관 (폐관)","FC001387","1","민간(대학로)","서울","종로구","2007"
"대학로 드림아트센터","FC001528","4","민간(대학로)","서울","종로구","2016"
"대학로 마로니에소극장(플레이더씨어터)","FC000769","1","민간(대학로)","서울","종로구","1987"
"대학로 뮤지컬센터","FC001213","3","민간(대학로)","서울","종로구","2013"
